date,pref,solar_kw,wind_kw
2016-06-30,長崎県,634536.016,109560.0
2016-06-30,長野県,906171.8999999999,0.0
2016-06-30,青森県,382041.8,385761.6
2016-06-30,静岡県,1311098.5,152770.8
2016-06-30,香川県,515628.723,0.0
2016-06-30,高知県,286924.96200000006,36150.0
2016-06-30,鳥取県,182072.559,59119.6
2016-06-30,鹿児島県,1177241.406,259961.5
2016-12-31,三重県,1220938.4,108000.0
2016-12-31,京都府,398139.0,2252.5
2016-12-31,佐賀県,495946.41799999995,42650.0
2016-12-31,兵庫県,1672539.2659999998,55100.0
2016-12-31,北海道,1092538.417,319784.5
2016-12-31,千葉県,1803006.5999999999,67001.7
2016-12-31,和歌山県,414833.5,94660.0
2016-12-31,埼玉県,1191502.5,0.0
2016-12-31,大分県,855002.8720000001,11580.4
2016-12-31,大阪府,785769.6,0.0
2016-12-31,奈良県,362564.0,0.0
2016-12-31,宮城県,688704.0999999999,32.0
2016-12-31,宮崎県,787050.1610000001,16000.0
2016-12-31,富山県,225970.936,3300.0
2016-12-31,山口県,685498.346,113450.0
2016-12-31,山形県,186072.69999999998,46066.9
2016-12-31,山梨県,487031.20000000007,0.0
2016-12-31,岐阜県,882342.3099999999,9200.0
2016-12-31,岡山県,979288.613,0.0
2016-12-31,岩手県,404822.6,67105.9
2016-12-31,島根県,243776.52399999998,176687.2
2016-12-31,広島県,963243.598,0.0
2016-12-31,徳島県,471725.491,19500.5
2016-12-31,愛媛県,611643.17,96200.0
2016-12-31,愛知県,1895040.7999999998,65972.0
2016-12-31,新潟県,243953.8,27691.7
2016-12-31,東京都,457248.12,3650.0
2016-12-31,栃木県,1534929.0,0.0
2016-12-31,沖縄県,327615.30799999996,17618.0
2016-12-31,滋賀県,594311.3,1500.0
2016-12-31,熊本県,1022485.889,30210.4
2016-12-31,石川県,262511.732,124526.0
2016-12-31,神奈川県,613678.1,6270.0
2016-12-31,福井県,161077.99,20000.0
2016-12-31,福岡県,1715361.774,20870.7
2016-12-31,福島県,869391.8999999999,159805.1
2016-12-31,秋田県,147416.4,334027.6
2016-12-31,群馬県,1252841.3,343.0
2016-12-31,茨城県,2109069.1100000003,103000.0
