file,category,area,duration,month,coef_pct
2024_chouseikeisu,純揚水・蓄電池,東北,20h,5月,90.2
2024_chouseikeisu,純揚水・蓄電池,東北,20h,6月,99.2
2024_chouseikeisu,純揚水・蓄電池,東北,20h,7月,100.0
2024_chouseikeisu,純揚水・蓄電池,東北,20h,8月,100.0
2024_chouseikeisu,純揚水・蓄電池,東北,20h,9月,100.0
2024_chouseikeisu,純揚水・蓄電池,東北,20h,10月,99.9
2024_chouseikeisu,純揚水・蓄電池,東北,20h,11月,96.8
2024_chouseikeisu,純揚水・蓄電池,東北,20h,12月,99.3
2024_chouseikeisu,純揚水・蓄電池,東北,20h,1月,99.9
2024_chouseikeisu,純揚水・蓄電池,東北,20h,2月,98.8
2024_chouseikeisu,純揚水・蓄電池,東北,20h,3月,94.0
2024_chouseikeisu,純揚水・蓄電池,東北,19h,4月,95.0
2024_chouseikeisu,純揚水・蓄電池,東北,19h,5月,90.2
2024_chouseikeisu,純揚水・蓄電池,東北,19h,6月,99.2
2024_chouseikeisu,純揚水・蓄電池,東北,19h,7月,100.0
2024_chouseikeisu,純揚水・蓄電池,東北,19h,8月,100.0
2024_chouseikeisu,純揚水・蓄電池,東北,19h,9月,100.0
2024_chouseikeisu,純揚水・蓄電池,東北,19h,10月,99.9
2024_chouseikeisu,純揚水・蓄電池,東北,19h,11月,96.8
2024_chouseikeisu,純揚水・蓄電池,東北,19h,12月,99.3
2024_chouseikeisu,純揚水・蓄電池,東北,19h,1月,99.9
2024_chouseikeisu,純揚水・蓄電池,東北,19h,2月,98.8
2024_chouseikeisu,純揚水・蓄電池,東北,19h,3月,94.0
2024_chouseikeisu,純揚水・蓄電池,東北,18h,4月,94.9
2024_chouseikeisu,純揚水・蓄電池,東北,18h,5月,90.2
2024_chouseikeisu,純揚水・蓄電池,東北,18h,6月,99.2
2024_chouseikeisu,純揚水・蓄電池,東北,18h,7月,100.0
2024_chouseikeisu,純揚水・蓄電池,東北,18h,8月,100.0
2024_chouseikeisu,純揚水・蓄電池,東北,18h,9月,100.0
2024_chouseikeisu,純揚水・蓄電池,東北,18h,10月,99.9
2024_chouseikeisu,純揚水・蓄電池,東北,18h,11月,96.8
2024_chouseikeisu,純揚水・蓄電池,東北,18h,12月,99.3
2024_chouseikeisu,純揚水・蓄電池,東北,18h,1月,99.9
2024_chouseikeisu,純揚水・蓄電池,東北,18h,2月,98.8
2024_chouseikeisu,純揚水・蓄電池,東北,18h,3月,94.0
2024_chouseikeisu,純揚水・蓄電池,東北,17h,4月,94.7
2024_chouseikeisu,純揚水・蓄電池,東北,17h,5月,90.2
2024_chouseikeisu,純揚水・蓄電池,東北,17h,6月,99.2
2024_chouseikeisu,純揚水・蓄電池,東北,17h,7月,100.0
2024_chouseikeisu,純揚水・蓄電池,東北,17h,8月,100.0
2024_chouseikeisu,純揚水・蓄電池,東北,17h,9月,100.0
